0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:39 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:39 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:39 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:39 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:39 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:43 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:43 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:43 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:43 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:43 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:44 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:44 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:44 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:44 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:44 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:44 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:44 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:44 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:44 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4254
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:45 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:45 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:45 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:45 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:45 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4254
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:01:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:39 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:39 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:39 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:39 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4254
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:39 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:55 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:55 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:55 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:55 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4153
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:56 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:56 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:56 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4153
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:56 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:56 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4153
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:56 -0300] "GET /CapRat/www/common/cadastro-curriculo/css/style.css HTTP/1.1" 200 4153
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:56 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:56 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:57 -0300] "GET /CapRat/www/common/cadastro-curriculo/cadastro-curriculo.jsp HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [18/Apr/2021:15:02:57 -0300] "GET /favicon.ico HTTP/1.1" 404 774
